AMCOL INTERNATIONAL CORP,10-K,813621,2009-03-16,edgar/data/813621/0001144204-09-014080.txt
AMCORE FINANCIAL INC,10-K,714756,2009-03-16,edgar/data/714756/0001193125-09-055558.txt
AMEDISYS INC,10-K,896262,2009-02-17,edgar/data/896262/0001193125-09-031143.txt
AMEREN CORP,10-K,1002910,2009-03-02,edgar/data/1002910/0001193125-09-042636.txt
AMEREN ENERGY GENERATING CO,10-K,1135361,2009-03-02,edgar/data/1135361/0001193125-09-042636.txt
AMERIANA BANCORP,10-K,855574,2009-03-30,edgar/data/855574/0001193125-09-067924.txt
AMERICA FIRST TAX EXEMPT INVESTORS LP,10-K,1059142,2009-03-04,edgar/data/1059142/0001059142-09-000002.txt
AMERICA FIRST TAX EXEMPT INVESTORS LP,10-K/A,1059142,2009-03-10,edgar/data/1059142/0001059142-09-000004.txt
AMERICA SERVICE GROUP INC /DE,10-K,877476,2009-03-05,edgar/data/877476/0000950144-09-001901.txt
AMERICAN AIRLINES INC,10-K,4515,2009-02-19,edgar/data/4515/0000004515-09-000008.txt
"AMERICAN APPAREL, INC",10-K,1336545,2009-03-16,edgar/data/1336545/0001193125-09-055623.txt
AMERICAN AXLE & MANUFACTURING HOLDINGS INC,10-K,1062231,2009-03-13,edgar/data/1062231/0001062231-09-000009.txt
AMERICAN BANCORP OF NEW JERSEY INC,10-K/A,1330039,2009-01-28,edgar/data/1330039/0001188112-09-000134.txt
AMERICAN BAR ASSOCIATION MEMBERS STATE STREET COLLECTIVE TR,10-K,878375,2009-03-27,edgar/data/878375/0001193125-09-065846.txt
AMERICAN BILTRITE INC,10-K,4611,2009-03-30,edgar/data/4611/0001171520-09-000227.txt
AMERICAN BIO MEDICA CORP,10-K,896747,2009-03-30,edgar/data/896747/0001144204-09-016997.txt
AMERICAN CAMPUS COMMUNITIES INC,10-K,1283630,2009-03-02,edgar/data/1283630/0001188112-09-000467.txt
"AMERICAN CAPITAL, LTD",10-K,817473,2009-03-02,edgar/data/817473/0001193125-09-042520.txt
AMERICAN CHURCH MORTGAGE CO,10-K,934543,2009-03-31,edgar/data/934543/0000934543-09-000013.txt
